"","testData.Churn","testData.temp.name"
"198",0,"5402-HTOTQ"
"199",0,"5404-GGUKR"
"200",0,"5423-BHIXO"
"201",0,"5445-GLVOT"
"202",0,"5533-RJFTJ"
"203",0,"5543-QDCRY"
"204",0,"5590-ZSKRV"
"205",0,"5651-WYIPH"
"206",1,"5673-FSSMF"
"207",0,"5701-ZIKJE"
"208",1,"5707-ORNDZ"
"209",1,"5766-XQXMQ"
"210",0,"5778-BVOFB"
"211",0,"5858-EAFCZ"
"212",0,"5882-CMAZQ"
"213",1,"5909-ECHUI"
"214",0,"5939-XAIXZ"
"215",1,"5949-EBSQK"
"216",0,"5949-HGVJL"
"217",1,"5995-OIGLP"
"218",0,"5999-LCXAO"
"219",0,"6127-IYJOZ"
"220",0,"6133-OZILE"
"221",0,"6137-MFAJN"
"222",1,"6142-VSJQO"
"223",0,"6158-HDPXZ"
"224",0,"6180-YBIQI"
"225",1,"6207-WIOLX"
"226",1,"6235-VDHOM"
"227",1,"6240-EURKS"
"228",0,"6260-ONULR"
"229",1,"6317-YPKDH"
"230",0,"6322-HRPFA"
"231",1,"6331-LWDTQ"
"232",0,"6344-SFJVH"
"233",0,"6366-XIVKZ"
"234",1,"6397-JNZZG"
"235",0,"6402-EJMWF"
"236",0,"6434-TTGJP"
"237",0,"6464-KEXXH"
"238",0,"6475-VHUIZ"
"239",0,"6483-OATDN"
"240",0,"6497-TILVL"
"241",0,"6505-OZNPG"
"242",0,"6507-DTJZV"
"243",0,"6575-SUVOI"
"244",1,"6629-CZTTH"
"245",0,"6629-LADHQ"
"246",0,"6637-KYRCV"
"247",0,"6704-UTUKK"
"248",0,"6713-OKOMC"
"249",1,"6715-OFDBP"
"250",0,"6752-APNJL"
"251",0,"6789-HJBWG"
"252",0,"6791-YBNAK"
"253",0,"6865-JZNKO"
"254",0,"6873-UDNLD"
"255",0,"6888-SBYAI"
"256",0,"6898-MDLZW"
"257",1,"6905-NIQIN"
"258",0,"6921-OZMFH"
"259",0,"7009-LGECI"
"260",1,"7016-BPGEU"
"261",0,"7041-TXQJH"
"262",1,"7054-LGEQW"
"263",0,"7074-STDCN"
"264",0,"7130-CTCUS"
"265",0,"7143-BQIBA"
"266",1,"7240-ETPTR"
"267",1,"7242-QZLXF"
"268",0,"7246-ZGQDF"
"269",0,"7284-BUYEC"
"270",0,"7312-XSBAT"
"271",0,"7318-EIVKO"
"272",0,"7319-VENRZ"
"273",0,"7339-POGZN"
"274",0,"7351-KYHQH"
"275",0,"7351-MHQVU"
"276",1,"7384-GHBPI"
"277",0,"7395-XWZOY"
"278",0,"7421-ZLUPA"
"279",0,"7442-YGZFK"
"280",0,"7459-IMVYU"
"281",1,"7470-MCQTK"
"282",0,"7502-BNYGS"
"283",0,"7521-AFHAB"
"284",0,"7537-RBWEA"
"285",1,"7593-JNWRU"
"286",0,"7595-EHCDL"
"287",0,"7605-SNLQG"
"288",1,"7615-ESMYF"
"289",1,"7619-ODSGN"
"290",0,"7669-LCRSD"
"291",1,"7675-OZCZG"
"292",0,"7729-JTEEC"
"293",0,"7733-UDMTP"
"294",0,"7746-AWNQW"
"295",0,"7754-IXRMC"
"296",0,"7766-CLTIC"
"297",0,"7799-DSEWS"
"298",0,"7811-JIVPF"
"299",1,"7825-GKXMW"
"300",0,"7839-NUIAA"
"301",1,"7854-EDSSA"
"302",0,"7872-RDDLZ"
"303",1,"7932-WPTDS"
"304",0,"7950-XWOVN"
"305",0,"7989-VCQOH"
"306",0,"8017-UVSZU"
"307",0,"8033-ATFAS"
"308",0,"8049-WJCLQ"
"309",0,"8064-RAVOH"
"310",1,"8066-POXGX"
"311",0,"8201-AAXCB"
"312",0,"8217-QYOHV"
"313",1,"8280-MQRQN"
"314",1,"8292-TYSPY"
"315",0,"8344-WFMFH"
"316",1,"8399-YNDCH"
"317",0,"8401-EMUWF"
"318",1,"8450-JOVAH"
"319",0,"8450-UYIBU"
"320",0,"8455-HIRAQ"
"321",0,"8467-WYNSR"
"322",0,"8495-PRWFH"
"323",0,"8498-XXGWA"
"324",0,"8582-KRHPJ"
"325",0,"8644-XYTSV"
"326",0,"8648-PFRMP"
"327",1,"8650-RHRKE"
"328",0,"8663-UPDGF"
"329",0,"8671-KKKOS"
"330",0,"8705-WZCYL"
"331",1,"8718-PTMEZ"
"332",0,"8735-DCXNF"
"333",1,"8740-XLHDR"
"334",0,"8741-LQOBK"
"335",0,"8756-RDDLT"
"336",1,"8775-CEBBJ"
"337",1,"8779-QRDMV"
"338",1,"8824-RWFXJ"
"339",0,"8851-RAGOV"
"340",1,"8901-HJXTF"
"341",1,"8992-JQYUN"
"342",0,"9013-AQORL"
"343",0,"9026-LHEVG"
"344",1,"9039-RBEEE"
"345",0,"9074-KGVOX"
"346",1,"9103-TCIHJ"
"347",1,"9136-ALYBR"
"348",0,"9143-CANJF"
"349",0,"9163-GHAYE"
"350",1,"9206-GVPEQ"
"351",0,"9236-NDUCW"
"352",1,"9259-PACGQ"
"353",1,"9269-CQOOL"
"354",0,"9327-QSDED"
"355",0,"9332-GYWLO"
"356",0,"9362-MWODR"
"357",1,"9474-PHLYD"
"358",0,"9518-IMLHK"
"359",0,"9554-DFKIC"
"360",0,"9577-WJVCQ"
"361",0,"9591-YVTEB"
"362",0,"9626-WEQRM"
"363",0,"9708-HPXWZ"
"364",0,"9715-SBVSU"
"365",1,"9732-KPKBW"
"366",1,"9734-UYXQI"
"367",0,"9763-GRSKD"
"368",0,"9780-FKVVF"
"369",0,"9796-MVYXX"
"370",0,"9828-QHFBK"
"371",0,"9862-KJTYK"
"372",0,"9873-MNDKV"
"373",0,"9938-EKRGF"
"374",0,"0020-JDNXP"
"375",1,"0022-TCJCI"
"376",0,"0074-HDKDG"
"377",0,"0080-EMYVY"
"378",0,"0121-SNYRK"
"379",0,"0234-TEVTT"
"380",0,"0305-SQECB"
"381",0,"0373-AIVNJ"
"382",1,"0378-XSZPU"
"383",0,"0384-LPITE"
"384",0,"0440-MOGPM"
"385",0,"0489-WMEMG"
"386",0,"0533-UCAAU"
"387",0,"0657-DOGUM"
"388",0,"0661-KBKPA"
"389",0,"0661-WCQNQ"
"390",0,"0667-NSRGI"
"391",0,"0723-VSOBE"
"392",0,"0980-FEXWF"
"393",0,"1032-MAELW"
"394",0,"1121-QSIVB"
"395",0,"1122-YJBCS"
"396",0,"1183-CANVH"
"397",0,"1265-HVPZB"
"398",0,"1282-IHQAC"
"399",0,"1301-LOPVR"
"400",0,"1337-BOZWO"
"401",0,"1353-GHZOS"
"402",1,"1623-NLDOT"
"403",0,"1661-CZBAU"
"404",0,"1729-VLAZJ"
"405",0,"1752-OZXFY"
"406",0,"1834-ABKHQ"
"407",0,"1929-ZCBHE"
"408",0,"2137-DQMEV"
"409",0,"2150-WLKUW"
"410",1,"2157-MXBJS"
"411",0,"2188-SXWVT"
"412",0,"2259-OUUSZ"
"413",0,"2316-ESMLS"
"414",1,"2325-ZUSFD"
"415",0,"2348-KCJLT"
"416",0,"2364-UFROM"
"417",0,"2511-MORQY"
"418",0,"2546-KZAAT"
"419",0,"2577-GVSIL"
"420",0,"2581-VKIRT"
"421",0,"2639-UGMAZ"
"422",0,"2680-XKKNJ"
"423",0,"2703-AMTUL"
"424",0,"2851-STERV"
"425",1,"2858-MOFSQ"
"426",0,"2969-VAPYH"
"427",0,"2969-WGHQO"
"428",1,"3230-WYKIR"
"429",0,"3354-OADJP"
"430",0,"3468-DRVQJ"
"431",0,"3482-ABPKK"
"432",0,"3585-YNADK"
"433",0,"3606-SBKRY"
"434",0,"3638-DIMPH"
"435",0,"3740-RLMVT"
"436",0,"3800-LYTRK"
"437",1,"3863-IUBJR"
"438",0,"3915-ODIYG"
"439",0,"3941-XTSKM"
"440",0,"4086-ATNFV"
"441",1,"4106-HADHQ"
"442",0,"4123-FCVCB"
"443",0,"4369-NYSCF"
"444",1,"4404-HIBDJ"
"445",0,"4501-UYKBC"
"446",0,"4508-OEBEY"
"447",0,"4544-RXFMG"
"448",0,"4547-FZJWE"
"449",0,"4549-ZDQYY"
"450",0,"4611-ANLQC"
"451",0,"4626-OZDTJ"
"452",0,"4702-HDRKD"
"453",0,"4759-PXTAN"
"454",1,"4785-QRJHC"
"455",0,"4877-TSOFF"
"456",0,"4903-CNOZC"
"457",1,"4905-JEFDW"
"458",0,"4906-ZHGPK"
"459",0,"4942-VZZOM"
"460",0,"5062-CJJKH"
"461",0,"5125-CNDSP"
"462",0,"5127-BZENZ"
"463",0,"5160-UXJED"
"464",0,"5196-WPYOW"
"465",0,"5315-CKEQK"
"466",0,"5498-IBWPI"
"467",0,"5499-ECUTN"
"468",0,"5524-KHNJP"
"469",0,"5724-BIDBU"
"470",0,"5844-QVTAT"
"471",0,"5872-OEQNH"
"472",0,"5906-DVAPM"
"473",0,"5915-DGNVC"
"474",0,"5985-TBABQ"
"475",0,"5989-OMNJE"
"476",0,"6047-SUHPR"
"477",0,"6061-GWWAV"
"478",0,"6195-MELTI"
"479",0,"6253-WRFHY"
"480",1,"6261-RCVNS"
"481",0,"6281-FKEWS"
"482",0,"6332-FBZRI"
"483",0,"6341-JVQGF"
"484",0,"6402-SSEJG"
"485",0,"6461-PPAXN"
"486",0,"6537-OTKMY"
"487",0,"6576-FBXOJ"
"488",0,"6584-VQMYT"
"489",0,"6663-JOCQO"
"490",0,"6693-DJWTY"
"491",0,"6810-VCAEX"
"492",0,"6933-FHBZC"
"493",0,"6967-PEJLL"
"494",0,"6992-TKNYO"
"495",0,"7029-IJEJK"
"496",0,"7089-XXAYG"
"497",0,"7153-CHRBV"
"498",0,"7184-LRUUR"
"499",0,"7228-PAQPD"
"500",0,"7269-JISCY"
"501",0,"7325-ENZFI"
"502",0,"7338-ERIVA"
"503",0,"7470-DYNOE"
"504",0,"7619-PLRLP"
"505",0,"7636-PEPNS"
"506",0,"7670-ZBPOQ"
"507",0,"7750-EYXWZ"
"508",0,"7753-USQYQ"
"509",0,"7795-CFOCW"
"510",0,"7841-FCRQD"
"511",1,"7931-PXHFC"
"512",0,"7945-HLKEA"
"513",0,"8050-WYBND"
"514",0,"8200-KLNYW"
"515",0,"8314-DPQHL"
"516",0,"8318-LCNBW"
"517",0,"8331-ZXFOE"
"518",0,"8672-OAUPW"
"519",0,"8690-UPCZI"
"520",0,"8738-JOKAR"
"521",0,"8745-PVESG"
"522",1,"8869-TORSS"
"523",0,"8879-ZKJOF"
"524",0,"8883-GRDWQ"
"525",0,"8898-KASCD"
"526",0,"8985-OOPOS"
"527",0,"9114-AAFQH"
"528",0,"9139-TWBAS"
"529",0,"9199-PWQVC"
"530",0,"9207-ZPANB"
"531",0,"9314-QDMDW"
"532",0,"9357-UJRUN"
"533",1,"9378-FXTIZ"
"534",0,"9388-ZEYVT"
"535",0,"9411-TPQQV"
"536",0,"9500-IWPXQ"
"537",0,"9513-DXHDA"
"538",0,"9609-BENEA"
"539",0,"9640-ZSLDC"
"540",0,"9691-HKOVS"
"541",0,"9702-AIUJO"
"542",0,"9803-FTJCG"
"543",0,"9931-DCEZH"
"544",0,"9955-QOPOY"
"545",1,"0011-IGKFF"
"546",1,"0023-XUOPT"
"547",0,"0064-YIJGF"
"548",1,"0094-OIFMO"
"549",0,"0112-QAWRZ"
"550",1,"0125-LZQXK"
"551",1,"0137-OCGAB"
"552",0,"0196-JTUQI"
"553",1,"0219-YTZUE"
"554",1,"0236-HFWSV"
"555",1,"0257-ZESQC"
"556",1,"0302-JOIVN"
"557",0,"0315-LVCRK"
"558",1,"0318-QUUOB"
"559",1,"0334-GDDSO"
"560",1,"0345-HKJVM"
"561",0,"0365-BZUWY"
"562",0,"0365-GXEZS"
"563",1,"0378-TOVMS"
"564",1,"0404-SWRVG"
"565",0,"0439-IFYUN"
"566",0,"0491-KAPQG"
"567",1,"0618-XWMSS"
"568",1,"0637-YLETY"
"569",1,"0685-MLYYM"
"570",1,"0689-NKYLF"
"571",0,"0722-SVSFK"
"572",1,"0727-IWKVK"
"573",1,"0754-UKWQP"
"574",1,"0772-GYEQQ"
"575",1,"0781-LKXBR"
"576",0,"0793-TWELN"
"577",1,"0818-OCPZO"
"578",0,"0848-ZGQIJ"
"579",1,"0871-URUWO"
"580",0,"0916-QOFDP"
"581",1,"0947-MUGVO"
"582",0,"0958-YHXGP"
"583",1,"0970-ETWGE"
"584",1,"1010-DIAUQ"
"585",1,"1024-VRZHF"
"586",0,"1047-NNCBF"
"587",0,"1077-HUUJM"
"588",1,"1112-CUNAO"
"589",0,"1216-JWVUX"
"590",0,"1228-ZLNBX"
"591",1,"1236-WFCDV"
"592",0,"1251-STYSZ"
"593",1,"1268-ASBGA"
"594",1,"1273-MTETI"
"595",1,"1342-JPNKI"
"596",0,"1379-FRVEB"
"597",0,"1384-RCUXW"
"598",1,"1389-CXMLU"
"599",0,"1393-IMKZG"
"600",1,"1396-QWFBJ"
"601",1,"1428-GTBJJ"
"602",0,"1508-DFXCU"
"603",1,"1522-VVDMG"
"604",1,"1579-KLYDT"
"605",0,"1580-BMCMR"
"606",1,"1602-IJQQE"
"607",1,"1624-WOIWJ"
"608",1,"1626-ERCMM"
"609",0,"1628-BIZYP"
"610",1,"1658-BYGOY"
"611",0,"1746-TGTWV"
"612",1,"1761-AEZZR"
"613",0,"1845-CSBRZ"
"614",1,"1853-UDXBW"
"615",1,"1867-BDVFH"
"616",1,"2004-OCQXK"
"617",0,"2018-QKYGT"
"618",1,"2027-FECZV"
"619",1,"2034-GDRCN"
"620",0,"2070-XYMFH"
"621",1,"2074-GKOWZ"
"622",0,"2074-GUHPQ"
"623",1,"2114-MGINA"
"624",0,"2123-AGEEN"
"625",0,"2135-DQWAQ"
"626",1,"2154-KVJFF"
"627",0,"2178-PMGCJ"
"628",0,"2203-GHNWN"
"629",0,"2252-ISRNH"
"630",0,"2254-DLXRI"
"631",1,"2265-CYWIV"
"632",1,"2272-QAGFO"
"633",0,"2305-MRGLV"
"634",1,"2344-JMOGN"
"635",1,"2369-UAPKZ"
"636",1,"2462-XIIJB"
"637",1,"2506-TNFCO"
"638",1,"2619-WFQWU"
"639",1,"2642-DTVCO"
"640",1,"2645-QTLMB"
"641",1,"2656-TABEH"
"642",1,"2660-EMUBI"
"643",0,"2674-MIAHT"
"644",1,"2725-KXXWT"
"645",1,"2737-YNGYW"
"646",0,"2739-CACDQ"
"647",1,"2856-HYAPG"
"648",1,"2865-TCHJW"
"649",0,"2897-DOVND"
"650",0,"2920-RNCEZ"
"651",1,"2951-QOQTK"
"652",1,"2955-BJZHG"
"653",1,"2956-GGUCQ"
"654",1,"2959-MJHIC"
"655",0,"2960-NKRSO"
"656",1,"2984-MIIZL"
"657",0,"3002-WQZWT"
"658",1,"3027-ZTDHO"
"659",1,"3045-XETSH"
"660",1,"3049-NDXFL"
"661",1,"3066-RRJIO"
"662",0,"3094-JOJAI"
"663",1,"3138-BKYAV"
"664",1,"3178-FESZO"
"665",1,"3186-BAXNB"
"666",0,"3197-ARFOY"
"667",1,"3198-VELRD"
"668",0,"3199-XGZCY"
"669",1,"3244-DCJWY"
"670",0,"3292-PBZEJ"
"671",0,"3295-YVUSR"
"672",1,"3398-FSHON"
"673",1,"3398-ZOUAA"
"674",0,"3422-GALYP"
"675",1,"3422-LYEPQ"
"676",1,"3428-XZMAZ"
"677",0,"3453-RTHJQ"
"678",1,"3488-PGMQJ"
"679",1,"3494-JCHRQ"
"680",1,"3519-ZKXGG"
"681",1,"3540-RZJYU"
"682",0,"3569-EDBPQ"
"683",0,"3583-KRKMD"
"684",0,"3644-QXEHN"
"685",1,"3671-SHRSP"
"686",1,"3707-GNWHM"
"687",1,"3716-BDVDB"
"688",1,"3727-RJMEO"
"689",1,"3737-GCSPV"
"690",1,"3750-CKVKH"
"691",1,"3765-JXVKY"
"692",1,"3801-HMYNL"
"693",0,"3855-ONCAR"
"694",1,"3858-VOBET"
"695",1,"3871-IKPYH"
"696",1,"3902-FOIGH"
"697",1,"3943-KDREE"
"698",0,"3956-CJUST"
"699",0,"3987-KQDDU"
"700",1,"4102-OQUPX"
"701",1,"4143-OOBWZ"
"702",1,"4192-GORJT"
"703",1,"4236-XPXAV"
"704",1,"4277-PVRAN"
"705",1,"4285-GYRQC"
"706",0,"4343-EJVQB"
"707",0,"4360-PNRQB"
"708",1,"4385-GZQXV"
"709",1,"4424-TKOPW"
"710",1,"4439-JMPMT"
"711",1,"4503-BDXBD"
"712",1,"4510-HIMLV"
"713",1,"4514-GFCFI"
"714",0,"4521-YEEHE"
"715",0,"4536-PLEQY"
"716",0,"4546-FOKWR"
"717",1,"4547-KQRTM"
"718",0,"4559-UWIHT"
"719",0,"4566-NECEV"
"720",1,"4572-DVCGN"
"721",1,"4585-HETAI"
"722",1,"4587-NUKOX"
"723",1,"4631-OACRM"
"724",1,"4636-QRJKY"
"725",1,"4659-NZRUF"
"726",1,"4706-AXVKM"
"727",0,"4749-OJKQU"
"728",0,"4770-UEZOX"
"729",1,"4795-KTRTH"
"730",1,"4818-QIUFN"
"731",0,"4853-OITSN"
"732",0,"4884-ZTHVF"
"733",1,"4910-GMJOT"
"734",0,"4927-WWOOZ"
"735",0,"4929-XIHVW"
"736",0,"4983-CCWMC"
"737",1,"4988-IQIGL"
"738",0,"5016-IBERQ"
"739",1,"5027-QPKTE"
"740",1,"5054-IEXZT"
"741",0,"5168-MSWXT"
"742",1,"5192-EBGOV"
"743",1,"5228-EXCET"
"744",1,"5229-PRWKT"
"745",1,"5240-IJOQT"
"746",0,"5271-DBYSJ"
"747",0,"5339-PXDVH"
"748",1,"5357-TZHPP"
"749",1,"5364-EVNIB"
"750",1,"5366-IJEQJ"
"751",1,"5383-MMTWC"
"752",0,"5429-LWCMV"
"753",0,"5433-KYGHE"
"754",0,"5442-BHQNG"
"755",1,"5519-NPHVG"
"756",1,"5539-TMZLF"
"757",1,"5561-NWEVX"
"758",1,"5572-ZDXHY"
"759",1,"5597-GLBUC"
"760",0,"5600-KTXFM"
"761",0,"5605-IYGFG"
"762",0,"5609-IMCGG"
"763",0,"5626-MGTUK"
"764",1,"5649-ANRML"
"765",0,"5701-YVSVF"
"766",1,"5747-PMBSQ"
"767",0,"5760-FXFVO"
"768",1,"5797-APWZC"
"769",1,"5834-ASPWA"
"770",1,"5842-POCOP"
"771",0,"5879-SESNB"
"772",1,"5884-GCYMI"
"773",0,"5937-EORGB"
"774",1,"5940-AHUHD"
"775",1,"5956-VKDTT"
"776",1,"5976-JCJRH"
"777",1,"6015-VVHHE"
"778",1,"6023-YEBUP"
"779",0,"6077-BDPXA"
"780",1,"6108-OQZDQ"
"781",1,"6127-ISGTU"
"782",1,"6161-UUUTA"
"783",0,"6175-IRFIT"
"784",1,"6178-KFNHS"
"785",1,"6210-KBBPI"
"786",1,"6227-HWPWX"
"787",1,"6284-AHOOQ"
"788",0,"6288-LBEAR"
"789",1,"6319-IEJWJ"
"790",1,"6328-ZPBGN"
"791",1,"6330-JKLPC"
"792",0,"6339-YPSAH"
"793",1,"6347-DCUIK"
"794",1,"6356-ELRKD"
"795",0,"6357-JJPQT"
"796",1,"6390-DSAZX"
"797",0,"6407-UTSLV"
"798",1,"6457-USBER"
"799",1,"6474-FVJLC"
"800",1,"6521-YYTYI"
"801",0,"6551-GNYDG"
"802",0,"6591-QGOYB"
"803",1,"6615-NGGZJ"
"804",1,"6653-CBBOM"
"805",1,"6688-UZPWD"
"806",1,"6689-TCZHQ"
"807",0,"6693-FRIRW"
"808",0,"6719-OXYBR"
"809",0,"6729-GDNGC"
"810",1,"6825-UYPFK"
"811",0,"6833-JMZYP"
"812",1,"6857-VWJDT"
"813",1,"6861-XWTWQ"
"814",1,"6877-TJMBR"
"815",1,"6910-HADCM"
"816",1,"6960-HVYXR"
"817",1,"6996-KNSML"
"818",0,"7020-OZKXZ"
"819",1,"7029-RPUAV"
"820",0,"7126-RBHSD"
"821",1,"7156-MHUGY"
"822",1,"7181-BQYBV"
"823",0,"7225-CBZPL"
"824",1,"7228-OMTPN"
"825",1,"7235-NXZCP"
"826",1,"7240-FQLHE"
"827",1,"7249-WBIYX"
"828",1,"7254-IQWOZ"
"829",1,"7274-RTAPZ"
"830",0,"7277-OZCGZ"
"831",1,"7294-TMAOP"
"832",1,"7295-JOMMD"
"833",0,"7354-OIJLX"
"834",0,"7363-QTBIW"
"835",1,"7379-POKDZ"
"836",0,"7398-SKNQZ"
"837",0,"7401-RUBNK"
"838",1,"7409-KIUTL"
"839",1,"7410-YTJIK"
"840",1,"7479-NITWS"
"841",1,"7495-OOKFY"
"842",1,"7503-QQRVF"
"843",1,"7503-ZGUZJ"
"844",0,"7504-UWHNB"
"845",1,"7526-BEZQB"
"846",1,"7534-BFESC"
"847",0,"7562-UXTPG"
"848",1,"7563-BIUPC"
"849",0,"7577-SWIFR"
"850",1,"7595-EUIVN"
"851",1,"7598-UAASY"
"852",0,"7611-YKYTC"
"853",1,"7625-XCQRH"
"854",1,"7638-QVMVY"
"855",0,"7658-UYUQS"
"856",1,"7660-HDPJV"
"857",0,"7718-RXDGG"
"858",1,"7760-OYPDY"
"859",1,"7779-LGOVN"
"860",1,"7783-YKGDV"
"861",0,"7823-JSOAG"
"862",1,"7825-ECJRF"
"863",0,"7855-DIWPO"
"864",0,"7901-HXJVA"
"865",0,"7929-DMBCV"
"866",0,"7964-VEXDG"
"867",0,"7978-DKUQH"
"868",1,"8000-REIQB"
"869",0,"8040-MNRTF"
"870",1,"8051-HJRLT"
